OTU representative sequence,Seq no.,Kingdom,Phylum,Class,Subclass/Order,Family,Genus/Species,source ID,ML0100,ML0101,ML0102,ML0103,ML0104,ML0105,ML0106,ML0107,ML0108,ML0109,ML0110,ML0111,ML0112,ML0113,ML0114,ML0115,ML0116,ML0117,ML0127,ML0128,ML0129,ML0130,ML0131,ML0132,ML0133,ML0134,ML0135,ML0118,ML0119,ML0120,ML0121,ML0122,ML0123,ML0124,ML0125,ML0126,ML0136,ML0137,ML0138,ML0139,ML0140,ML0141,ML0142,ML0143,ML0144,ML0145,ML0146,ML0147,ML0148,ML0149,ML0150,ML0151,ML0152,ML0153
AJL8W:237:2324,47,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,21,25,6,8,8,14,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0
AJL8W:570:2401,48,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,29,7,10,6,7,13,26,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
AJL8W:1967:1695,49,Animalia,Arthropoda,,,,,SAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:31:971,50,Animalia,Chordata,Ascidiacea,Enterogona,,,SAP,0,0,0,0,0,0,0,0,0,0,3,1,37,40,64,396,247,102,1,0,0,0,0,0,0,0,0,0,0,0,20,7,60,35,75,88,0,0,0,0,0,1,0,0,0,0,4,1,32,237,25,563,944,39
CVN8E:741:1973,51,Animalia,Annelida,Polychaeta,Canalipalpata,,,SAP,3,8,0,0,55,37,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CVN8E:1154:1987,52,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Ampithoe valida,NCBI/BOLD,9,0,18,6,37,20,102,38,16,0,0,12,0,0,1,15,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,6
AJL8W:776:593,53,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVN8E:723:1931,54,,,,,,,,0,0,0,0,0,0,0,0,0,7,1,3,1,0,1,3,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,257,145,252,202,148,43,117,57,262
CVN8E:408:943,55,Animalia,Nemertea,Enopla,Monostilifera,Amphiporidae,Zygonemertes virescens,NCBI/BOLD,40,55,128,37,13,6,47,9,2,10,27,8,61,38,26,10,26,55,1,0,1,0,1,4,5,0,6,2,2,9,20,5,12,25,0,2,0,1,10,0,0,0,0,0,0,0,0,1,6,9,2,0,1,0
CVN8E:1857:1424,56,Animalia,Arthropoda,Maxillopoda,Calanoida,,,SAP,3,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59,19,9,0,15,11,3,39,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0
AJL8W:17:1948,57,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,5,2,5,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,6,1,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,0,8
AJL8W:371:981,58,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,7,4,11,4,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:1502:1913,59,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:1063:1621,60,Animalia,Arthropoda,Maxillopoda,Harpacticoida,,,SAP,0,1,0,0,0,0,0,0,0,9,6,0,0,2,1,2,6,3,7,0,0,4,2,4,5,0,1,179,314,264,244,181,319,355,211,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AJL8W:1839:1930,61,,,,,,,,0,0,0,0,0,0,0,0,0,8,1,0,50,11,7,0,1,20,0,0,0,0,0,0,0,0,0,3,3,0,49,3,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AJL8W:567:1507,62,Animalia,Gastrotricha,,Chaetonotida,,,SAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVN8E:788:1454,63,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,NCBI/BOLD,2,9,64,2,2,6,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CVN8E:977:3139,64,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
CVN8E:1561:1113,65,,,,,,,,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:794:2647,66,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVN8E:672:1075,67,,,,,,,,31,2,6,0,95,36,33,0,0,0,0,0,0,0,0,0,0,0,43,20,25,43,16,29,37,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:33:1763,68,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,3,1,11,0,3,0,0,0,0,0,0,0,0,0,0,2,4,3,5,4,13,34,11,3
BN63R:439:2094,69,Animalia,Nematoda,Chromadorea,Chromadorida,,,SAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,2,1,1,2,2,1,2,0,0,0,0,0,0,0,0,0
AJL8W:1307:1549,70,Animalia,Annelida,Polychaeta,Phyllodocida,,,SAP,0,0,1,0,0,6,0,0,0,0,76,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,26,18,4,2,18,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AJL8W:1595:1901,71,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,216,211,19,0,19,1,2,2,0,0,0,0,0,0,0,0,0,11,5,3,0,0,1,0,0,0
AJL8W:1969:878,72,Animalia,Mollusca,Gastropoda,Littorinimorpha,Caecidae,Meioceras nitidum,NCBI/BOLD,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,5,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:1077:628,73,Animalia,Arthropoda,Maxillopoda,Calanoida,,,SAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,13,38,38,36,37,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVN8E:1055:1175,74,,,,,,,,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:1321:1196,75,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:1679:547,76,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,13,8,13,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:1702:3311,77,Animalia,Mollusca,Gastropoda,,,,SAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVN8E:71:2064,78,Animalia,Annelida,Clitellata,Haplotaxida,Tubificidae,Prionospio steenstrupi,NCBI/BOLD,0,0,0,0,0,0,0,0,0,0,0,0,29,0,41,0,168,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJL8W:1582:2554,79,,,,,,,,0,0,0,0,0,0,0,0,0,6,97,180,256,116,246,23,152,15,0,0,0,0,0,0,0,1,0,24,31,116,39,17,98,13,8,19,0,0,0,0,0,0,0,0,0,4,4,2,7,0,3,9,2,6
CVN8E:1206:889,80,Animalia,Arthropoda,Malacostraca,Amphipoda,,,SAP/500?m,2131,5988,3497,1098,2674,3187,2729,3694,5255,214,485,102,572,468,163,255,78,20,3,1,0,0,2,2,0,3,0,6,26,6,36,18,10,23,21,22,174,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
